language,review,voted_up,playtime
schinese,"三界失序，神佛颠倒，西天路冷，妖雾漫天。

你执一根金箍，自苍狼林起步，黑风山斩广智、斗熊罴，见禅院香火藏歹心；入黄风岭涉风沙，破蝜蝂、怼灵吉，知佛头噬灵、菩萨藏奸；登小西天闯浮屠，战黄眉、踏苦海，懂极乐原是无间狱；穿盘丝洞、越火焰山，直至花果山见大圣残影，方知取经旧话皆是骗局，长生执念尽是枷锁。

棍有三式，劈扫戳间攒棍势；身具神通，七十二变藏玄机。精准闪避化分身，蓄力立棍破万法，不是莽夫逞凶，是棍法即心法 —— 每一次棍落，是斩妖，亦是斩心中虚妄；每一次变身，是求生，亦是求自我本真。

影神图录尽妖魔神佛，却难辨是非善恶：佛未必慈悲，妖未必凶恶，所谓天命，不过是神佛捆人的绳索；所谓正道，原是敢逆乾坤的孤勇。你以为是循着剧本走西天，实则是握着棍棒打天命。

及至棍指凌霄，又见花果山石破惊天，方懂这黑神话从不是复刻西游，是让每个天命人自问：戴金箍，是顺天命，还是困本心？碎神佛，是泄私愤，还是守人间？

通关良久，耳边仍回响着黄风大圣那句 “满城百姓，感谢不尽”，眼前仍是浮屠塔下破碎的佛身 —— 原来最狠的西游，从不是妖魔拦路，是看清神佛真面目后，仍敢举棍向前。这，才是真正的齐天大圣，才是《黑神话：悟空》的真意。",True,3187
schinese,更新后卡顿问题太严重，已经影响到正常愉快了，掉帧太厉害了，完全玩不了一点,False,6710
schinese,游戏里的粪怪居多，一堆霸体，骗刀，技能零帧起手。火焰山和花果山这两章做的就是一坨史，很明显制作组做到后面不想做了，流程越做越少，地图越做越小，还有这树都飞天上去了，只能说后面让我太失望了，10分满分只能给个7分。,False,5385
schinese,"在此之前我并没有玩过这个类型的动作游戏，看别人直播，我只觉得他们厉害，我曾认为我的反应比大部分人慢，不适合打这个游戏。
点开这个游戏的是偶，我抱的是只要过了广智就算成功的心态。
没想到在无数遍的死亡后，我一步步通过了自认为不可能战胜的幽魂，白衣秀士，小黄龙，毒敌大王等等。其中小黄龙更是让我激战了整整十个小时。
最后当我最终击败杨戬时，我觉得我应该感谢这个游戏，它让我知道了自己并不比别人差。
最强的敌人，实际上是那个不自信的自己。",True,8565
schinese,全世界最好的游戏！方方面面都是最好！,True,5773
schinese,超爱玩，这是一款上手适中，上限超高的大作。目前一周目，只会劈棍。连滚带爬通关的。玩过只狼，只狼上手难，熟悉以后可以凭借肌肉记忆弹反拼刀达到很高的操作。黑猴上手易，想玩出花非常难，三种模式切换无伤操作，我都做不到。黑猴二周目第三个BOSS以后就不想打了，因为我一个38岁老男人实在做不到网上大神游刃有余的操作。或许某一个时间段会重拾二周目戳棍。这两款游戏我都推荐，超值！,True,7101
schinese,"战斗玩法好，但整个游戏不是一部完整的作品，希望未来能完善。
最好的一点是亲切，这来自于优质的，同源文化。中国有太多好东西了，过去今天与未来，都希望能在游戏里得到见证。",True,6004
schinese,"在游玩前五回时，虽然有些小毛病，例如引导差，战斗对手残党不友好，但我还是会因为它的美术给一个好评。我玩的游戏不多，但这游戏的很多画面确确实实让我感到很震撼，剧情相对于一些谜语游戏容易理解的多，对于一个大陆人来说也很有意思，但又正好是因为这是国产的第一款大制作游戏，感觉很多人吹捧过头了，过度的夸大营销反倒让我心生些许厌恶。这游戏本来24年就买了，一直断断续续玩着，后面想着不玩完太亏了，就硬撑着玩了个最初的结局。最后一回简直就是折磨，地图花果山一点特色都没有，制作组就给玩家一个筋斗云，什么引导都没有，让玩家乱逛，还有抓那只跳来跳去的虫的时候，应该一直按住按键不放，结果因为这个神人提示，以及画面显示我在虫子背上被甩来甩去，我误以为要松开再按一次，果不其然掉下去了，重新再来。

总的来说这游戏的美术音乐部分很用心，但是游戏最主要的还是游戏性，不说没有，但就是让人很难受。。。。。。而且确实如网上所说，前几回制作组很用心，后面两回，特别是最后一回，像赶工出来的辣鸡",False,1377
schinese,总的来说，我认为这个游戏是相当好玩的，战斗，美术，剧情都不错。不必在意网上的节奏，无论什么游戏，亲身体验，有自己的相对客观的想法，这才是这个游戏的玩家，而不是他人言论的玩具。,True,7384
schinese,"在体验过诸多类似的ARPG的一年后，仍在我心里有不可撼动的地位。
这不仅来自文化认同，也是对完成比完美更重要的认可。
尽管现在对悟空的战斗系统的认知已经从完美变成仍有许多改进空间，对无限接近一本道的所谓箱庭地图也并不太满意，但游科登峰造极的boss战、艺术品级别的原画和配乐以及几乎适合所有人的精简的操作/build难度绝对能使得黑神话立足于世界顶尖ARPG的行列中。
在IP效应盛行的社会里，能主动放弃已经十分稳固的IP进行创新的勇气也值得称赞。希望能在钟馗里看到完全进化的战斗系统（但是千万别陷入信号灯陷阱了），以无可争议的姿态拿下发售那年的最佳动作游戏。",True,12115
schinese,国产跨时代作品必须支持为了下一款更优秀的三a也要支持一下,True,2861
schinese,画面制作精美，动作打击感十足，剧情丰富有内涵。,True,2834
schinese,人菜瘾大，好玩，爱玩。中华神话文化背景的游戏玩起来真的很有代入感，特别还是大圣，期待更多国产中华文化背景的3A,True,1100
schinese,从小在游侠3DM等各种论坛找破解游戏的时候，从来没想到能玩到原汁原味的纯国产3A，那时候在游戏里看见个汉字或者有个中文配音都特别高兴！还有很多单机都没有汉化补丁导致剧情全都看不懂，欲买桂花同载酒，现在终于进入中国人自己的神话世界。,True,4869
schinese,去年首发入的，但是由于电脑是1050ti一直带不动，卡着挂了几十个小时还是没能玩上，遂弃游。今年换5060之后终于也是玩上黑猴了。画质精美如电影，动作打击感也没得说，再加上齐天大圣情怀的加成，终于体会到为什么铺天盖地的好评了。,True,5005
schinese,好玩，2025年三月进修时候玩完一二章，2025年12月玩完第三章，等手上事情搞完，继续后面三章。,True,3763
schinese,前四章非常完美，花果山有点潦草有点赶，希望接下来的DLC会弥补这点不足，非常推荐，画质这块也没得说,True,2771
schinese,很好玩，传播中华优秀传统文化的游戏,True,334
schinese,挺好的，就是笔记本性能太差了。画面感觉还有问题,True,456
schinese,精美的游戏，但是没有耐玩性，一通后即结束,True,4238
schinese,游戏是还好游戏，就是玩法有点单调。,True,2084
schinese,"今天补评测的最后一个，抛去空气墙、地图美术实景的辨识度设计和第四五六章的剧情毛病，战斗爽感当年玩的时候感觉还是可以的，动画美术和一部分音乐（比如第二章开头那里）我也很喜欢，当时没给好评是因为不想附和沙币的狂热堵嘴风潮。

一款游戏，不论是哪国作品，不论是不是“第一个大学生”，买了游戏玩过的玩家都有资格发表自己的看法。做得好的地方就鼓励，不喜欢的地方就批评，只有这样能让玩家自由讨论的环境才能真正让国产游戏进步。造神，扣帽子，拼尽一切要“赢”，最后就是金池长老和袈裟的故事，文创行业也会因此生产出许多当时吹上天但禁不起检验的垃圾。我要直接攻击b站以某某冰为代表的某些up主，无论出于个人想法还是收了钱，你不能堵别人嘴，上纲上线然后引导环境开除别人国籍。虽然这样的环境不是这些博主创造的，但他们起到了推波助澜的帮凶作用。当然，另一些博主一味地贬低并以此吃反流量的行为也和他们没什么区别，就像米孝子和米黑一样，本质上是同类人。

我还是一句话：玩家就是玩家，无论玩家还是创作者都应该专注于作品本身（尤其是创作者）。

希望未来作品越来越好。",True,4182
schinese,十番轮回了，越玩越想玩，操作越来越好，体会进步的感觉吧！,True,21603
schinese,"每天平均十小时四天通关，今天早上起床出现都出现截断反应了，这是以往任何一个游戏都未曾带给我的体验感。
这个游戏带给我的不仅仅是战斗表现上，我想更引人入胜的是每章结尾打完关底BOSS后的剧情，游戏内看过一遍还不够，打完后我还会在社交媒体上寻找着剧情的剪辑视频。到了最后进入石中境时，大圣的记忆仿佛活了过来，就在我眼前再次呈现出来，而当最后听到老猴子说大圣再也回不来时，真的让我很难过，在游戏开始之时，我想很多在不了解最终结局的人都与我一样，是为了复活大圣才踏上这条路的。
而当我最终击败大圣后，我仿佛看到了他脸上的笑意与欣慰，就像自己苦苦守候的衣钵终于找到了传承者，而他也可放心的离去，令人久久不能忘怀。
最后，期待黑猴的DLC以及后面的黑神话钟馗，希望游戏科学能给我们带来更多优质的作品。",True,2854
schinese,除了第六章比较潦草，前面都很不错。,True,1399
schinese,中国文化传统游戏，暗藏玄机，没话说的没有缺点,True,2105
schinese,这太棒了，玩过不少游戏了，依然觉得黑猴的好玩程度是第一梯队的,True,5294
schinese,好玩到爆炸了，特别是到第二卷黄风岭，当地文化和音乐的相当的好,True,2892
schinese,"杨戬的boss战简直是中式美学的巅峰🥺刚柔并济、举重若轻，枪剑斧三把武器用得行云流水，翩若惊鸿，婉若游龙……全成就之后完全变成了杨戬启动器，没事登上去打一打杨戬，神清气爽🥰真君……真君……🥺我们喜欢你口牙🥺
大圣残躯的boss战也足够惊艳，大圣抢葫芦喝酒、时不时掏出个桃开始啃的小动作、看到我立棍也开始立棍还比我更高仿佛在说“你那个是棍孙子我这个是棍爷爷”、把棍扔回来笑一声让我接着打的动作……这些跟战斗本身貌似无关的小动作真是把大圣的形象立起来了，天真顽劣、本性纯良，打起来不觉得红温只觉得快乐和感动，真是难得的美好体验🥰
(打完开启了随时随地来一套花棍的模式。朋友：地铁里不准卖艺！😡)
btw这游戏简直福瑞狂喜，小猴子毛绒绒的很萌，黑熊的耳朵很萌，寅虎的爪爪很萌，戌狗的牙牙很萌，二叔小小一只很萌，真君变的小老虎更是萌得吐血🥰总之好多毛绒绒，喜欢🥰🥰🥰",True,7095
