file_source,phenomenon,UID,pair_id,sentence_good,sentence_bad,correct_0.5B,correct_1.5B,both_correct,both_wrong,fixed,regression
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,24,徐小姐喝了七瓶红酒，郑大妈三瓶。,徐小姐喝了七瓶红酒，郑大妈三桶。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,25,刘先生看了四部教材，张夫人三部。,刘先生看了四部教材，张夫人三本。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,26,张婶爆炒了三只鸭，小王六只。,张婶爆炒了三只鸭，小王六条。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,27,陈大姐炖了九条鱼，徐小姐五条。,陈大姐炖了九条鱼，徐小姐五只。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,28,王姨看了五本日记，小王两本。,王姨看了五本日记，小王两部。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,29,徐小姐创作了三本漫画，张三五本。,徐小姐创作了三本漫画，张三五部。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,30,张婶炖了两条鱼，徐小姐七条。,张婶炖了两条鱼，徐小姐七只。,True,False,False,False,False,True
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,31,小明喝了六桶啤酒，周大妈七桶。,小明喝了六桶啤酒，周大妈七杯。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,32,王大娘领养了四条小狗，李太太七条。,王大娘领养了四条小狗，李太太七只。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,33,王小姐烧了九只鸭，郑大妈十只。,王小姐烧了九只鸭，郑大妈十条。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,34,吴太太搬了十张桌子，张婶三张。,吴太太搬了十张桌子，张婶三把。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,35,王大娘炖了三条鱼，张婶八条。,王大娘炖了三条鱼，张婶八只。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,36,张婶喝了十桶矿泉水，何太太八桶。,张婶喝了十桶矿泉水，何太太八杯。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,37,周大妈捕捉了四只老虎，李太太一只。,周大妈捕捉了四只老虎，李太太一头。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,38,李四写了四本教材，吴太太十本。,李四写了四本教材，吴太太十部。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,39,周大妈打断了一条腿，杨大哥六条。,周大妈打断了一条腿，杨大哥六只。,False,True,False,False,True,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,40,吴太太捕捉了六条蛇，王大娘十条。,吴太太捕捉了六条蛇，王大娘十只。,False,False,False,True,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,41,王大娘喝了一桶矿泉水，张先生六桶。,王大娘喝了一桶矿泉水，张先生六杯。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,42,徐小姐搬了三张桌子，何太太八张。,徐小姐搬了三张桌子，何太太八把。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,43,李太太打断了六只脚，徐小姐九只。,李太太打断了六只脚，徐小姐九条。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,44,王先生麻醉了九头大象，赵大爷七头。,王先生麻醉了九头大象，赵大爷七只。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,45,李先生制作了一本手账，陈大姐十本。,李先生制作了一本手账，陈大姐十部。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,46,何太太爆炒了九只鸭，小明七只。,何太太爆炒了九只鸭，小明七条。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,47,小王捕捉了十只鸡，冯大哥三只。,小王捕捉了十只鸡，冯大哥三条。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,48,小明搬了九张桌子，陈大姐六张。,小明搬了九张桌子，陈大姐六把。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,49,郑大妈捕捉了十头大象，王五一头。,郑大妈捕捉了十头大象，王五一只。,False,True,False,False,True,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,50,杨大哥创作了八部漫画，张先生十部。,杨大哥创作了八部漫画，张先生十本。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,51,王小姐煮了三只鸡，胡大爷十只。,王小姐煮了三只鸡，胡大爷十条。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,52,李先生领养了三只小猫，张婶十只。,李先生领养了三只小猫，张婶十条。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,53,杨大哥制作了三本手账，李太太八本。,杨大哥制作了三本手账，李太太八部。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,54,李四吃了三桶方便面，张婶十桶。,李四吃了三桶方便面，张婶十个。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,55,张夫人吃了七片面包，徐小姐四片。,张夫人吃了七片面包，徐小姐四块。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,56,李先生包扎了六条腿，张三五条。,李先生包扎了六条腿，张三五只。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,57,陈大姐领养了两只小猫，王五六只。,陈大姐领养了两只小猫，王五六条。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,58,王大娘煮了两条鱼，赵大爷八条。,王大娘煮了两条鱼，赵大爷八只。,True,False,False,False,False,True
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,59,宋女士喝了两瓶橙汁，张三七瓶。,宋女士喝了两瓶橙汁，张三七桶。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,60,李先生烧了一只鸡，杨大哥五只。,李先生烧了一只鸡，杨大哥五条。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,61,李四烧了一只鸡，吴太太七只。,李四烧了一只鸡，吴太太七条。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,62,宋女士喝了十桶啤酒，张三一桶。,宋女士喝了十桶啤酒，张三一杯。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,63,周大妈麻醉了六只老虎，王姨十只。,周大妈麻醉了六只老虎，王姨十头。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,64,赵大爷烧了两条鱼，李太太一条。,赵大爷烧了两条鱼，李太太一只。,True,False,False,False,False,True
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,65,王五捕捉了六只鸡，张先生九只。,王五捕捉了六只鸡，张先生九条。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,66,刘先生创作了三部漫画，徐小姐七部。,刘先生创作了三部漫画，徐小姐七本。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,67,王小姐检查了三条腿，何太太六条。,王小姐检查了三条腿，何太太六只。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,68,王姨搬了十张桌子，郑大妈四张。,王姨搬了十张桌子，郑大妈四把。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,69,何太太包扎了四条腿，李四五条。,何太太包扎了四条腿，李四五个。,True,False,False,False,False,True
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,70,冯大哥喝了九杯橙汁，胡大爷十杯。,冯大哥喝了九杯橙汁，胡大爷十桶。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,71,李先生检查了一条腿，胡大爷两条。,李先生检查了一条腿，胡大爷两只。,False,True,False,False,True,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,72,杨大哥制作了三本手账，王大娘八本。,杨大哥制作了三本手账，王大娘八部。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,73,吴太太烧了两条鱼，张婶六条。,吴太太烧了两条鱼，张婶六只。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,74,吴太太煮了十只鸭，宋女士七只。,吴太太煮了十只鸭，宋女士七条。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,75,赵大爷喝了九瓶冰红茶，李先生六瓶。,赵大爷喝了九瓶冰红茶，李先生六杯。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,76,李太太捕捉了两条蛇，张夫人三条。,李太太捕捉了两条蛇，张夫人三头。,False,False,False,True,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,77,宋女士写了三本教材，赵大爷一本。,宋女士写了三本教材，赵大爷一部。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,78,王大娘喝了十瓶矿泉水，王姨四瓶。,王大娘喝了十瓶矿泉水，王姨四桶。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,79,杨大哥麻醉了五只老虎，王姨六只。,杨大哥麻醉了五只老虎，王姨六头。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,80,张先生烧了六条鱼，郑大妈十条。,张先生烧了六条鱼，郑大妈十只。,False,False,False,True,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,81,小王煮了七只鸭，郑大妈两只。,小王煮了七只鸭，郑大妈两条。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,82,李太太创作了八本漫画，王姨两本。,李太太创作了八本漫画，王姨两部。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,83,赵大爷烧了十条鱼，小王六条。,赵大爷烧了十条鱼，小王六只。,False,True,False,False,True,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,84,张夫人领养了七只小猫，刘先生十只。,张夫人领养了七只小猫，刘先生十条。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,85,李太太炖了十条鱼，刘先生六条。,李太太炖了十条鱼，刘先生六只。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,86,王先生烧了十条鱼，王五八条。,王先生烧了十条鱼，王五八只。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,87,胡大爷制作了七部记录片，徐小姐八部。,胡大爷制作了七部记录片，徐小姐八本。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,88,吴太太制作了一本手账，李太太八本。,吴太太制作了一本手账，李太太八部。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,89,杨大哥打断了一条腿，刘先生七条。,杨大哥打断了一条腿，刘先生七只。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,90,张夫人搬了两张桌子，王姨八张。,张夫人搬了两张桌子，王姨八把。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,91,刘先生打断了七只鼻子，李先生四只。,刘先生打断了七只鼻子，李先生四条。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,92,王小姐打断了一只脚，徐小姐五只。,王小姐打断了一只脚，徐小姐五条。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,93,王五领养了一条小狗，李四九条。,王五领养了一条小狗，李四九只。,False,True,False,False,True,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,94,刘先生烧了十只鸭，王先生三只。,刘先生烧了十只鸭，王先生三条。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,95,杨大哥爆炒了七条鱼，何太太九条。,杨大哥爆炒了七条鱼，何太太九只。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,96,何太太捕捉了两只鸡，杨大哥八只。,何太太捕捉了两只鸡，杨大哥八条。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,97,郑大妈捕捉了一只鸭，张夫人两只。,郑大妈捕捉了一只鸭，张夫人两头。,False,True,False,False,True,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,98,张婶搬了两把椅子，赵大爷十把。,张婶搬了两把椅子，赵大爷十张。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,99,张三领养了七条小狗，王大娘九条。,张三领养了七条小狗，王大娘九只。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,100,小王麻醉了六只老虎，张夫人五只。,小王麻醉了六只老虎，张夫人五头。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,101,周大妈创作了一本小说，张三十本。,周大妈创作了一本小说，张三十部。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,102,何太太打断了五条腿，郑大妈七条。,何太太打断了五条腿，郑大妈七只。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,103,郑大妈包扎了九个耳朵，李先生七个。,郑大妈包扎了九个耳朵，李先生七只。,False,False,False,True,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,104,杨大哥吃了六只鸡，胡大爷七只。,杨大哥吃了六只鸡，胡大爷七个。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,105,张三打断了七条腿，张先生一条。,张三打断了七条腿，张先生一只。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,106,何太太麻醉了十头大象，陈大姐七头。,何太太麻醉了十头大象，陈大姐七只。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,107,郑大妈捕捉了八只鸡，王小姐六只。,郑大妈捕捉了八只鸡，王小姐六条。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,108,胡大爷领养了八只小猫，李先生四只。,胡大爷领养了八只小猫，李先生四条。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,109,王姨清蒸了九只鸭，吴太太三只。,王姨清蒸了九只鸭，吴太太三条。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,110,小明烧了九条鱼，陈大姐三条。,小明烧了九条鱼，陈大姐三只。,False,False,False,True,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,111,宋女士打断了两只鼻子，王大娘九只。,宋女士打断了两只鼻子，王大娘九条。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,112,小明麻醉了三头大象，张夫人一头。,小明麻醉了三头大象，张夫人一只。,False,True,False,False,True,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,113,王姨清蒸了三条鱼，王小姐四条。,王姨清蒸了三条鱼，王小姐四只。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,114,郑大妈搬了四张桌子，张先生三张。,郑大妈搬了四张桌子，张先生三把。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,115,王五捕捉了三条蛇，何太太一条。,王五捕捉了三条蛇，何太太一只。,False,False,False,True,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,116,陈大姐烧了十条鱼，杨大哥三条。,陈大姐烧了十条鱼，杨大哥三只。,False,False,False,True,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,117,张夫人搬了六张桌子，杨大哥九张。,张夫人搬了六张桌子，杨大哥九把。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,118,李太太炖了四只鸭，陈大姐八只。,李太太炖了四只鸭，陈大姐八条。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,119,张先生打断了九条腿，刘先生两条。,张先生打断了九条腿，刘先生两只。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,120,李先生爆炒了八条鱼，张婶一条。,李先生爆炒了八条鱼，张婶一只。,True,False,False,False,False,True
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,121,张先生麻醉了两头大象，赵大爷七头。,张先生麻醉了两头大象，赵大爷七只。,False,True,False,False,True,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,122,胡大爷炖了八只鸭，宋女士四只。,胡大爷炖了八只鸭，宋女士四条。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,123,周大妈领养了八条小狗，宋女士两条。,周大妈领养了八条小狗，宋女士两只。,True,False,False,False,False,True
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,124,李四看了八部日记，小王六部。,李四看了八部日记，小王六本。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,125,小明搬了六张桌子，宋女士九张。,小明搬了六张桌子，宋女士九把。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,126,何太太喝了一瓶冰红茶，徐小姐五瓶。,何太太喝了一瓶冰红茶，徐小姐五桶。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,127,小王麻醉了两只老虎，王大娘十只。,小王麻醉了两只老虎，王大娘十头。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,128,小王创作了十部小说，王大娘八部。,小王创作了十部小说，王大娘八本。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,129,张婶打断了六只鼻子，小王一只。,张婶打断了六只鼻子，小王一条。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,130,何太太制作了四部记录片，李四三部。,何太太制作了四部记录片，李四三本。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,131,张三捕捉了六只鸭，李先生八只。,张三捕捉了六只鸭，李先生八条。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,132,张先生创作了三部漫画，王先生九部。,张先生创作了三部漫画，王先生九本。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,133,王小姐麻醉了六只老虎，张婶两只。,王小姐麻醉了六只老虎，张婶两头。,False,True,False,False,True,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,134,杨大哥领养了六只小猫，张三两只。,杨大哥领养了六只小猫，张三两条。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,135,郑大妈喝了三桶啤酒，李太太两桶。,郑大妈喝了三桶啤酒，李太太两杯。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,136,王先生捕捉了五只鸭，郑大妈九只。,王先生捕捉了五只鸭，郑大妈九头。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,137,徐小姐喝了五杯橙汁，王小姐六杯。,徐小姐喝了五杯橙汁，王小姐六桶。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,138,王小姐包扎了六个头，张婶八个。,王小姐包扎了六个头，张婶八只。,False,False,False,True,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,139,何太太买了五串香蕉，王大娘八串。,何太太买了五串香蕉，王大娘八个。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,140,王姨看了六部小说，李太太三部。,王姨看了六部小说，李太太三本。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,141,王大娘包扎了七条腿，李四十条。,王大娘包扎了七条腿，李四十只。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,142,赵大爷喝了五桶啤酒，吴太太三桶。,赵大爷喝了五桶啤酒，吴太太三杯。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,143,刘先生炖了七只鸭，小王三只。,刘先生炖了七只鸭，小王三条。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,144,王姨喝了七瓶红酒，王先生五瓶。,王姨喝了七瓶红酒，王先生五杯。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,145,郑大妈打断了六条腿，小明八条。,郑大妈打断了六条腿，小明八只。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,146,小王制作了两部电影，陈大姐六部。,小王制作了两部电影，陈大姐六本。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,147,李先生清蒸了两条鱼，徐小姐四条。,李先生清蒸了两条鱼，徐小姐四只。,False,True,False,False,True,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,148,王先生制作了两本手账，刘先生一本。,王先生制作了两本手账，刘先生一部。,True,True,True,False,False,False
